id;key;1::Spanish;
332;plugin_base_error_titles_ARRAY_PAL03;Import complete;Importación completada
333;plugin_base_error_bodies_ARRAY_PAL03;The import was performed successfully.;La importación se realizó con éxito.
334;plugin_base_error_titles_ARRAY_PAL04;Import error;Error de importación
335;plugin_base_error_bodies_ARRAY_PAL04;Import failed due empty data.;Error de importación debido a datos vacíos.
336;plugin_base_error_titles_ARRAY_PAL05;Import error;Error de importación
337;plugin_base_error_bodies_ARRAY_PAL05;Import failed because file cannot be open.;La importación falló porque el archivo no se puede abrir.
338;plugin_base_error_bodies_ARRAY_PAL20;The following languages have been found. Select those you want to import.;Se han encontrado los siguientes idiomas. Seleccione los que desea importar.
339;plugin_base_error_titles_ARRAY_PAL20;Import confirmation;Confirmar importación
340;plugin_base_error_titles_ARRAY_PAL11;Import failed;Importación fallida
341;plugin_base_error_bodies_ARRAY_PAL11;Missing, empty or invalid parameters.;Parámetros faltantes, vacíos o inválidos.
342;plugin_base_error_titles_ARRAY_PAL12;Import failed;Importación fallida
343;plugin_base_error_bodies_ARRAY_PAL12;File have not been uploaded.;El archivo no ha sido cargado.
344;plugin_base_error_titles_ARRAY_PAL13;Import failed;Importación fallida
345;plugin_base_error_bodies_ARRAY_PAL13;Uploaded file cannot open for reading.;El archivo cargado no se puede abrir para leer.
346;plugin_base_error_titles_ARRAY_PAL14;Import failed;Importación fallida
347;plugin_base_error_bodies_ARRAY_PAL14;New line(s) have been found.;Se han encontrado nuevas líneas.
348;plugin_base_error_titles_ARRAY_PAL15;Import failed;Importación fallida
349;plugin_base_error_bodies_ARRAY_PAL15;Uploaded file doesn't contain the necessary columns.;El archivo cargado no contiene las columnas necesarias.
350;plugin_base_error_titles_ARRAY_PAL16;Import failed;Importación fallida
351;plugin_base_error_bodies_ARRAY_PAL16;Number of columns are not equal on every row.;El número de columnas no es igual en cada fila.
352;plugin_base_error_titles_ARRAY_PAL17;Import failed;Importación fallida
353;plugin_base_error_bodies_ARRAY_PAL17;Invalid data found.;Datos no válidos encontrados.
354;plugin_base_error_titles_ARRAY_PAL18;Import failed;Importación fallida
355;plugin_base_error_bodies_ARRAY_PAL18;Missing columns.;Faltan columnas.
356;plugin_base_error_titles_ARRAY_PAL19;Import failed;Importación fallida
357;plugin_base_error_bodies_ARRAY_PAL19;Invalid data found.;Datos no válidos encontrados.
358;plugin_base_locale_error_line;The error was found at line: %s;El error se encontró en la línea: %s
359;plugin_base_menu_profile;Profile;Perfil
360;plugin_base_menu_logout;Log out;Cerrar sesión
361;plugin_base_header_welcome;Welcome, {NAME}.;Bienvenido, {NAME}.
362;plugin_base_admin_login;Admin Login;Inicio de sesión de administrador
363;plugin_base_opt_o_dashboard;Dashboard page URL;URL del Dashboard
364;plugin_base_log_menu_log;Log;Log
365;plugin_base_log_menu_config;Config log;Log de configuración
366;plugin_base_log_btn_empty;Empty log;Log vacío
367;plugin_base_error_titles_ARRAY_PLG01;Config log updated.;Registro de configuración actualizado.
368;plugin_base_error_bodies_ARRAY_PLG01;The config log have been updated.;El registro de configuración se ha actualizado.
369;plugin_base_api_key;API key;Clave API
370;plugin_base_editor_phone_portrait;Phone Portrait View;Vista retrato del teléfono
371;plugin_base_editor_phone_landscape;Phone Landscape View;Vista landscape del teléfono
372;plugin_base_editor_tablet_portrait;Tablet Portrait View;Vista retrato de la tableta
373;plugin_base_editor_tablet_landscape;Tablet Landscape View;Vista landscape de la tableta
374;plugin_base_editor_phone_portrait_info;See how your website looks on mobile phone in portrait mode - 320px x 490px.;Vea cómo se ve su sitio web en el teléfono móvil en modo vertical: 320 px x 490 px.
375;plugin_base_editor_phone_landscape_info;See how your website looks on mobile phone in landscape mode - 490px x 320px.;Vea cómo se ve su sitio web en el teléfono móvil en modo horizontal: 490 px x 320 px.
376;plugin_base_editor_tablet_portrait_info;See how your website looks on a tablet in portrait mode - 770px x 990px.;Vea cómo se ve su sitio web en una tableta en modo vertical: 770 px x 990 px.
377;plugin_base_editor_tablet_landscape_info;See how your website looks on a tablet in landscape mode - 990px x 770px.;Vea cómo se ve su sitio web en una tableta en modo horizontal: 990 px x 770 px.
378;plugin_base_opt_o_hide_page_text;If you choose to hide this page then it will not be available in the menu and you can only access it by using its URL: {URL};Si elige ocultar esta página, no estará disponible en el menú y solo podrá acceder a ella utilizando su URL: {URL}
379;plugin_base_backup_enable_auto_backup_text;"Please, make sure CRON jobs are configured. Please, go to <a href=""index.php?controller=pjBaseCron&action=pjActionIndex"">System Options - Cron jobs</a> and follow the instructions.";"Por favor, asegúrese de que los CRON JOBS estén configurados. Vaya a <a href=""index.php?controller=pjBaseCron&action=pjActionIndex""> Opciones del sistema - Cron jobs </a> y siga las instrucciones."
380;plugin_base_server_path;Server path;Ruta del servidor
381;plugin_base_account_locked;Account locked;Cuenta bloqueada
382;plugin_base_available_tokens;Available tokens;Tokens disponibles
383;plugin_base_opt_o_failed_login_send_email_subject;Email subject;Asunto del correo electrónico
384;plugin_base_opt_o_failed_login_send_email_message;Email message;Mensaje de correo electrónico
385;plugin_base_opt_o_failed_login_send_sms_message;SMS message sent to account owner;Mensaje SMS enviado al propietario de la cuenta
386;plugin_base_link_resend_password;Not received your password? Click here to resend;No recibió su contraseña? Haga clic aquí para regresar a enviar
387;plugin_base_two_factor_auth_email_title;Please enter the temporary password that was sent to your email to login.;Introduzca la contraseña temporal que se envió a su correo electrónico para iniciar sesión.
388;plugin_base_two_factor_auth_sms_title;Please enter the temporary password that was sent to you as SMS to login.;Por favor, introduzca la contraseña temporal que se le envió como mensaje SMS para iniciar sesión.
389;plugin_base_opt_o_secure_login_send_password_to_email_subject;Email subject;Asunto del correo electrónico
390;plugin_base_opt_o_secure_login_send_password_to_email_message;Email message;Mensaje de correo electrónico
391;plugin_base_opt_o_secure_login_send_password_to_sms_message;SMS message;Mensaje SMS
392;plugin_base_disabled_login_form_text;The form is disabled because of too many failed login attempts. Please try again after {REMAINING_TIME}.;El formulario está deshabilitado debido a demasiados intentos de inicio de sesión fallidos. Inténtelo de nuevo después de {REMAINING_TIME}.
393;plugin_base_admin_forgot;Forgot Password?;Olvidó su contraseña?
394;plugin_base_link_login;User login;Login de usuario
395;plugin_base_opt_o_forgot_email_subject;Email subject;Asunto del correo electrónico
396;plugin_base_opt_o_forgot_email_message;Email message;Mensaje de correo electrónico
397;plugin_base_opt_o_forgot_sms_message;SMS message;Mensaje SMS
398;plugin_base_login_err_ARRAY_8;The password reminder email has been sent successfully.;El correo electrónico de recordatorio de contraseña se ha enviado correctamente.
399;plugin_base_login_err_ARRAY_9;The password reminder SMS has been sent successfully.;El mensaje SMS recordatorio de contraseña se ha enviado con éxito.
400;plugin_base_login_err_ARRAY_10;Password reminder failed to send!;Recordatorio de contraseña no se pudo enviar!
401;plugin_base_locale_field_type;Field type;Tipo de campo
402;plugin_base_locale_type_backend;Back-end;Back-end
403;plugin_base_locale_type_frontend;Front-end;Front-end
404;plugin_base_locale_type_arrays;Special title (Array);Título especial (Arreglo)
405;plugin_base_locale_type_script;Script;Script
406;plugin_base_locale_type_plugin;Plugin;Plugin
407;plugin_base_opt_o_forgot_contact_admin_message;Contact admin email message;Póngase en contacto con el administrador por medio de correo electrónico
408;plugin_base_login_err_ARRAY_11;Your IP address was already blocked.;Su dirección IP ya estaba bloqueada.
409;plugin_base_login_err_ARRAY_12;Forgot password SMS cannot be sent.;Olvidé la contraseña, el mensaje SMS no se puede enviar.
410;plugin_base_login_err_ARRAY_13;Forgot password SMS cannot be sent, user's phone number is not added.;Olvidé la contraseña, el mensaje SMS no se puede enviar, el número de teléfono del usuario no se agregara.
411;plugin_base_login_err_ARRAY_14;Forgot password SMS cannot be sent, SMS message is not added.;Olvidé la contraseña, el mensaje SMS no se puede enviar, no se agrega un mensaje SMS.
412;plugin_base_opt_o_google_maps_api_key;Google Maps API Browser key;Clave del navegador de la API de Google Maps
413;plugin_base_opt_o_google_maps_api_key_text;"Enter your Google maps API key here in order for Google maps to work with your system. If you do not have such key <a href=""https://developers.google.com/maps/documentation/javascript/get-api-key"" target=""_blank"">get a key here.</a>";"Ingresa tu clave de API de Google Maps aquí para que Google Maps funcione con tu sistema. Si no tiene esa clave <a href=""https://developers.google.com/maps/documentation/javascript/get-api-key"" target=""_blank"">get a key here.</a>"
414;plugin_base_login_err_ARRAY_15;Email could not be sent.;No se pudo enviar el correo electrónico.
415;plugin_base_login_err_ARRAY_16;Email could not be sent because the email template is empty.;No se pudo enviar correo electrónico porque la plantilla de correo electrónico está vacía.
416;plugin_base_login_err_ARRAY_17;SMS could not be sent beause the SMS key is not set.;No se pudo enviar mensaje SMS porque la clave SMS no está configurada.
417;plugin_base_login_err_ARRAY_18;SMS could not be sent beause the SMS template is empty.;No se pudo enviar mensaje SMS porque la plantilla de SMS está vacía.
418;plugin_base_login_err_ARRAY_19;SMS could not be sent beause the phone number is missing.;No se pudo enviar mensaje SMS porque falta el número de teléfono.
419;plugin_base_login_err_ARRAY_30;SMS could not be sent.;No se pudo enviar mensaje SMS.
420;plugin_base_opt_o_forgot_contact_admin_subject;Contact admin email subject;Asunto correo electrónico del administrador
421;plugin_base_btn_send_password_reminder;Send Password Reminder;Enviar recordatorio de contraseña
422;plugin_base_opt_o_failed_login_send_email;Send notification to account owner;Enviar notificación al propietario de la cuenta
423;plugin_base_opt_o_failed_login_send_sms;Send SMS to account owner;Enviar mensaje SMS al propietario de la cuenta
424;plugin_base_create_backup_title;Manually make a back-up;Hacer manualmente una copia de seguridad
425;plugin_base_new_password;New password;Nueva contraseña
426;plugin_base_login_err_ARRAY_33;Missing, empty or invalid URL parameters.;Parámetros de URL faltantes, vacíos o no válidos.
427;plugin_base_login_err_ARRAY_32;Account not found.;Cuenta no encontrada.
428;plugin_base_login_err_ARRAY_31;Invalid URL parameters.;Parámetros de URL no válidos.
429;plugin_base_admin_reset_success;New password generated!;Nueva contraseña generada!
430;plugin_base_options_captcha_desc_front;Set options for the captcha used on the front-end.;Establecer opciones para el captcha utilizado en el front-end.
431;plugin_base_options_captcha_title_front;Captcha (Front-end);Captcha (Front-end)
432;plugin_base_opt_o_base_theme;Color theme;Color del tema
433;plugin_base_sms_warning;"Please make sure you have set an SMS key. More details <a href=""index.php?controller=pjBaseSms&action=pjActionIndex"">here</a>.";"Por favor, asegúrese de haber establecido una clave de SMS. Más detalles <a href=""index.php?controller=pjBaseSms&action=pjActionIndex"">here</a>."
434;plugin_base_change_pswd_title;Notice!;¡Aviso!
435;plugin_base_change_pswd_desc;Since you have not changed your password recently we recommend you to change your password.;Como no ha cambiado su contraseña recientemente, le recomendamos que cambie su contraseña.
436;plugin_base_opt_o_sender_name;"Name (""From"" header)";"Nombre (""De"" encabezado)"
437;plugin_base_captcha_reload;Can't read the text? Click to reload.;No se puede leer el texto? Haga clic para volver a cargar.
438;plugin_base_login_welcome;Welcome back.;Bienvenido de regreso.
439;plugin_base_login_welcome_prefix;Log in;Iniciar sesión
440;plugin_base_login_welcome_suffix;administration page;página de administración
441;plugin_base_login_err_ARRAY_44;Captcha doesn't match.;El codigo captcha no coincide.
442;opt_o_secure_login_send_password_to_email_message_text;"<div class=""col-xs-6"">\n<p>{Name}</p>\n<p>{Email}</p>\n<p>{Phone}</p>\n<p>{Password}</p>\n</div>\n";"<div class=""col-xs-6"">\n<p>{Name}</p>\n<p>{Email}</p>\n<p>{Phone}</p>\n<p>{Password}</p>\n</div>\n"
443;opt_o_secure_login_send_password_to_sms_message_text;"<div class=""col-xs-6"">\n<p>{Name}</p>\n<p>{Email}</p>\n<p>{Phone}</p>\n<p>{Password}</p>\n</div>\n";"<div class=""col-xs-6"">\n<p>{Name}</p>\n<p>{Email}</p>\n<p>{Phone}</p>\n<p>{Password}</p>\n</div>\n"
444;opt_o_failed_login_send_email_message_text;"<div class=""col-xs-6"">\n<p>{Name}</p>\n<p>{Email}</p>\n<p>{Phone}</p>\n</div>\n<div class=""col-xs-6"">\n<p>{LoginAttempts}</p>\n<p>{LoginAttemptsToLock}</p>\n</div>\n";"<div class=""col-xs-6"">\n<p>{Name}</p>\n<p>{Email}</p>\n<p>{Phone}</p>\n</div>\n<div class=""col-xs-6"">\n<p>{LoginAttempts}</p>\n<p>{LoginAttemptsToLock}</p>\n</div>\n"
445;opt_o_failed_login_send_sms_message_text;"<div class=""col-xs-6"">\n<p>{Name}</p>\n<p>{Email}</p>\n<p>{Phone}</p>\n</div>\n<div class=""col-xs-6"">\n<p>{LoginAttempts}</p>\n<p>{LoginAttemptsToLock}</p>\n</div>\n";"<div class=""col-xs-6"">\n<p>{Name}</p>\n<p>{Email}</p>\n<p>{Phone}</p>\n</div>\n<div class=""col-xs-6"">\n<p>{LoginAttempts}</p>\n<p>{LoginAttemptsToLock}</p>\n</div>\n"
446;opt_o_forgot_email_message_text;"<div class=""col-xs-6""><p>{Name}</p><p>{Email}</p><p>{Phone}</p><p>{URL}</p></div>";"<div class=""col-xs-6""><p>{Name}</p><p>{Email}</p><p>{Phone}</p><p>{URL}</p></div>"
447;plugin_base_send_test_swal_success_title;Success!;¡Exito!
448;plugin_base_send_test_swal_smg_title;Email sent!;Correo electrónico enviado!
449;plugin_base_send_test_swal_error_title;Error!;¡Error!
450;plugin_base_email_text_ARRAY_1;Missing headers.;Faltan encabezados.
451;plugin_base_email_text_ARRAY_2;Invalid request.;Solicitud no válida.
452;plugin_base_email_text_ARRAY_3;Missing, empty or invalid parameters.;Parámetros faltantes, vacíos o no válidos.
453;plugin_base_email_text_ARRAY_4;Connection has been established successfully.;La conexión se ha establecido con éxito.
454;plugin_base_email_text_ARRAY_5;Connection fails.;La conexión falla.
455;plugin_base_email_text_ARRAY_6;Email address is missing.;Falta la dirección de correo electrónico.
456;plugin_base_email_text_ARRAY_7;Email address is not valid.;La dirección de correo electrónico no es válida.
457;plugin_base_email_text_ARRAY_8;Email failed to sent.;Error al enviar el correo electrónico.
458;plugin_base_email_text_ARRAY_9;Test email has been sent to;El correo electrónico de prueba ha sido enviado a
459;plugin_base_api_key_text_ARRAY_100;HTTP method is not allowed.;El método HTTP no está permitido.
460;plugin_base_api_key_text_ARRAY_101;Option cannot be found.;No se puede encontrar la opción.
461;plugin_base_api_key_text_ARRAY_102;API key is empty.;La clave API está vacía.
462;plugin_base_api_key_text_ARRAY_103;Key is not correct!;La clave no es correcta!
463;plugin_base_api_key_text_ARRAY_200;Key is correct!;La clave es correcta!
464;plugin_base_sms_key_text_ARRAY_100;HTTP method is not allowed.;El método HTTP no está permitido.
465;plugin_base_sms_key_text_ARRAY_101;API key is empty.;La clave API está vacía.
466;plugin_base_sms_key_text_ARRAY_4;Incorrect API key.;Clave API incorrecta.
467;plugin_base_validate_select_file;Please select file to import.;Seleccione el archivo que desea importar.
468;plugin_base_ajax_error;An unexpected error occurred.;Se ha producido un error inesperado.
469;plugin_base_login_err_ARRAY_3;Your account was disabled.;Su cuenta fue desactivada.
470;plugin_base_menu_countries;Countries;Paises
471;plugin_base_infobox_countries_title;Countries;Paises
472;plugin_base_infobox_countries_desc;Use grid below to organize your country list.;Use la cuadrícula a continuación para organizar su lista de países.
473;plugin_base_infobox_add_country_title;Add country;Añadir país
474;plugin_base_infobox_add_country_desc;Use form below to add a country.;Utilice el siguiente formulario para añadir un país.
475;plugin_base_infobox_update_country_title;Update country;Actualizar país
476;plugin_base_infobox_update_country_desc;Use form below to update a country.;Utilice el siguiente formulario para actualizar un país.
477;plugin_base_error_titles_ARRAY_PCY01;Country updated;País actualizado
478;plugin_base_error_titles_ARRAY_PCY03;Country added;País añadido
479;plugin_base_error_titles_ARRAY_PCY04;Country failed to add;El país no se pudo añadir
480;plugin_base_error_titles_ARRAY_PCY08;Country not found;País no encontrado
481;plugin_base_error_bodies_ARRAY_PCY01;Country has been updated successfully.;El país se ha actualizado correctamente.
482;plugin_base_error_bodies_ARRAY_PCY03;Country has been added successfully.;El país se ha agregado correctamente.
483;plugin_base_error_bodies_ARRAY_PCY04;Country has not been added successfully.;El país no se ha agregado correctamente.
484;plugin_base_error_bodies_ARRAY_PCY08;Country you are looking for has not been found.;No se ha encontrado el país que está buscando.
485;plugin_base_btn_add_country;Add country;Añadir país
486;plugin_base_country_name;Country name;Nombre del país
487;plugin_base_alpha_2;Alpha 2;Alpha 2
488;plugin_base_alpha_3;Alpha 3;Alpha 3
489;plugin_base_duplicated_alpha_2;Duplicated alpha 2;Duplicado alpha 2
490;plugin_base_duplicated_alpha_3;Duplicated alpha 3;Duplicado alpha 3
491;plugin_base_infobox_user_profile_title;User Profile;Perfil de usuario
492;plugin_base_infobox_user_profile_desc;Reivew and update your profile.;Revisar y actualizar su perfil.
493;plugin_base_menu_role_permissions;Role permissions;Permisos de rol
494;opt_o_forgot_sms_message_text;"<div class=""col-xs-6""><p>{Name}</p><p>{Email}</p><p>{Phone}</p><p>{URL}</p></div>";"<div class=""col-xs-6""><p>{Name}</p><p>{Email}</p><p>{Phone}</p><p>{URL}</p></div>"
495;opt_o_forgot_contact_admin_message_text;"<div class=""col-xs-6""><p>{Name}</p><p>{Email}</p><p>{Phone}</p><p>{URL}</p></div>";"<div class=""col-xs-6""><p>{Name}</p><p>{Email}</p><p>{Phone}</p><p>{URL}</p></div>"
496;plugin_base_grid_choose_action;Choose Action;Seleccione una acción
497;plugin_base_grid_go_to_page;Go to page:;Ir a la página:
498;plugin_base_grid_total_items;Total items:;Total de items:
499;plugin_base_grid_items_per_page;Items per page;Items por página
500;plugin_base_grid_prev_page;Prev page;Página anterior
501;plugin_base_grid_prev;"&laquo; Prev";"&laquo; Anterior"
502;plugin_base_grid_next_page;Next page;Página siguiente
503;plugin_base_grid_next;"Next &raquo;";"Siguiente &raquo;"
504;plugin_base_grid_delete_confirmation;Delete confirmation;Eliminar confirmación
505;plugin_base_grid_confirmation_title;Are you sure you want to delete selected record?;¿Está seguro de que desea eliminar el registro seleccionado?
506;plugin_base_grid_action_title;Action confirmation;Confirmación de la acción
507;plugin_base_grid_btn_ok;OK;OK
508;plugin_base_grid_btn_cancel;Cancel;Cancelar
509;plugin_base_grid_btn_delete;Delete;Eliminar
510;plugin_base_grid_empty_result;No records found;No se encontraron registros
511;plugin_base_grid_total_prefix;of;de
512;plugin_base_grid_total_suffix;total;total
513;plugin_base_grid_show;Show;Mostrar
514;plugin_base_grid_empty_date;(empty date);(fecha vacía)
515;plugin_base_grid_invalid_date;(invalid date);(fecha inválida)
516;plugin_base_role_arr_ARRAY_1;Administrator;Administrador
517;plugin_base_role_arr_ARRAY_2;Regular User;Usuario regular
518;plugin_base_enum_arr_ARRAY_letters;Letters only;Sólo caracteres
519;plugin_base_enum_arr_ARRAY_digits;Digits only;Sólo dígitos
520;plugin_base_enum_arr_ARRAY_both;Letter & Digits;Dígitos y Caracteres
521;plugin_base_enum_arr_ARRAY_system;System;Sistema
522;plugin_base_enum_arr_ARRAY_google;Google;Google
523;plugin_base_enum_arr_ARRAY_string;String;Cadena
524;plugin_base_enum_arr_ARRAY_addition;Addition;Suma
525;plugin_base_enum_arr_ARRAY_subtraction;Subtraction;Resta
526;plugin_base_enum_arr_ARRAY_random_math;Random math;Matemáticas aleatorias
527;plugin_base_grid_action_empty_title;No records selected;No hay registros seleccionados
528;plugin_base_grid_action_empty_body;You need to select at least a single record;Debe seleccionar al menos un solo registro
529;plugin_base_opt_o_google_geocoding_api_key;Google Maps API Server key;Clave del servidor API de Google Maps
530;plugin_base_opt_o_google_geocoding_api_key_text;"Enter your Google Geocoding API key here in order for Google maps to work with your system. If you do not have such key <a href=""https://developers.google.com/maps/documentation/geocoding/get-api-key"" target=""_blank"">get a key here.</a>";"Introduce aquí tu clave de Google Geocoding API para que Google Maps funcione con tu sistema. Si no tiene esa clave <a href=""https://developers.google.com/maps/documentation/geocoding/get-api-key"" target=""_blank"">get a key here.</a>"
531;plugin_base_sms_test_invalid_method;HTTP method not allowed.;Método HTTP no permitido.
532;plugin_base_sms_test_empty_api_key;API key is empty.;La clave API está vacía.
533;plugin_base_sms_test_empty_number;Number is empty.;El número está vacío.
534;plugin_base_opt_o_smtp_sender;SMTP Sender;Remitente de SMTP
535;plugin_auth_pwd_error_ARRAY_100;Password minimum length should be %u.;La longitud mínima de la contraseña debe ser %u.
536;plugin_auth_pwd_error_ARRAY_101;Password must contain letters only.;La contraseña debe contener sólo letras.
537;plugin_auth_pwd_error_ARRAY_105;Password must contain at least one capital letter.;La contraseña debe contener al menos una letra mayúscula.
538;plugin_auth_pwd_error_ARRAY_102;Password must contain digits only.;La contraseña debe contener solo dígitos.
539;plugin_auth_pwd_error_ARRAY_103;Password must contain at least one letter and one digit.;La contraseña debe contener al menos una letra y un dígito.
540;plugin_auth_pwd_error_ARRAY_104;Password must contain at least one special character.;La contraseña debe contener al menos un carácter especial.
541;pjBaseBackup_pjActionBackup;Do back-up files;Hacer copia de seguridad de archivos
542;pjBaseBackup_pjActionDelete;Delete back-up file;Eliminar archivo de copia de seguridad
543;pjBaseBackup_pjActionDeleteBulk;Delete multiple back-up files;Eliminar varios archivos de copia de seguridad
544;pjBaseBackup_pjActionDownload;Download back-up file;Descargar archivo de copia de seguridad
545;pjBaseBackup_pjActionIndex;Back-up Menu;Menú de copia de seguridad
546;pjBaseCountries;Countries Menu;Menú de países
547;pjBaseCountries_pjActionCreate;Create Country;Crear país
548;pjBaseCountries_pjActionDeleteCountry;Delete single Country;Eliminar un solo país
549;pjBaseCountries_pjActionDeleteCountryBulk;Delete Multiple Countries;Eliminar varios países
550;pjBaseCountries_pjActionIndex;Countries List;Lista de países
551;pjBaseCountries_pjActionStatusCountry;Revert country status;Revertir el estado del país
552;pjBaseCountries_pjActionUpdate;Update Country;Actualizar país
553;pjBaseCron_pjActionExecute;Execute Cron Job;Ejecutar Cron jobs
554;pjBaseCron_pjActionIndex;Cron Jobs Menu;Menú Cron jobs
555;pjBaseLocale;Languages Menu;Menú de idiomas
556;pjBaseLocale_pjActionDeleteLocale;Delete Language;Eliminar idioma
557;pjBaseLocale_pjActionImportExport;Import / Export;Importar / Exportar
558;pjBaseLocale_pjActionImportExport_export;Export;Exportación
559;pjBaseLocale_pjActionImportExport_import;Import;Importación
560;pjBaseLocale_pjActionIndex;Languages List;Lista de idiomas
561;pjBaseLocale_pjActionLabels;Labels;Etiqueta
562;pjBaseLocale_pjActionLabels_showIds;Advanced Translation ON/OFF;Traducción avanzada ON/OFF
563;pjBaseLocale_pjActionSaveLocale;Add & Update Language;Añadir y actualizar idioma
564;pjBaseOptions_pjActionApiKeys;API Keys;Claves API
565;pjBaseOptions_pjActionCaptchaSpam;Captcha & SPAM;Captcha & Spam
566;pjBaseOptions_pjActionCaptchaSpam_captcha;Captcha Settings;Configuración de Captcha
567;pjBaseOptions_pjActionCaptchaSpam_spam;SPAM Protection;Protección de spam
568;pjBaseOptions_pjActionEmailSettings;Email Settings;Configuración de correo electrónico
569;pjBaseOptions;System Options Menu;Menú Opciones del sistema
570;pjBaseOptions_pjActionIndex;General Menu;Menú General
571;pjBaseOptions_pjActionLoginProtection;Login & Protection;Inicio de sesión y protección
572;pjBaseOptions_pjActionLoginProtection_failed_login;Failed Login Settings;Error en la configuración de inicio de sesión
573;pjBaseOptions_pjActionLoginProtection_forgot;Forgot Password Settings;Olvidó la configuración de contraseña
574;pjBaseOptions_pjActionLoginProtection_password;Password Strength Settings;Configuración de contraseña fuerte
575;pjBaseOptions_pjActionLoginProtection_secure_login;Secure Login Settings;Configuración de inicio de sesión seguro
576;pjBaseOptions_pjActionVisual;Visual & Branding;Marca visual
577;pjBasePermissions_pjActionUserPermission;Update User Permissions;Actualizar permisos de usuario
578;pjBaseSms;SMS Settings Menu;Menú de configuración de mensajes SMS
579;pjBaseSms_pjActionIndex_list;View list of messages sent;Ver lista de mensajes enviados
580;pjBaseSms_pjActionIndex_settings;SMS Settings;Configuración de mensajes SMS
581;pjBaseUsers;Users Menu;Menú Usuarios
582;pjBaseUsers_pjActionCreate;Create User;Crear usuario
583;pjBaseUsers_pjActionDeleteUser;Delete single user;Eliminar usuario
584;pjBaseUsers_pjActionDeleteUserBulk;Delete multiple users;Eliminar varios usuarios
585;pjBaseUsers_pjActionExportUser;Export users;Exportar usuarios
586;pjBaseUsers_pjActionIndex;Users List;Lista de usuarios
587;pjBaseUsers_pjActionProfile;Profile;Perfil
588;pjBaseUsers_pjActionStatusUser;Revert user status;Revertir el estado del usuario
589;pjBaseUsers_pjActionUnlockAccount;Unlock user account;Desbloquear cuenta de usuario
590;pjBaseUsers_pjActionUpdate;Update User;Actualizar usuario
591;pjVouchers;Vouchers Menu;Menú de cupones
592;pjVouchers_pjActionCreate;Add vouchers;Añadir cupones
593;pjVouchers_pjActionDeleteVoucher;Delete single voucher;Eliminar cupon
594;pjVouchers_pjActionDeleteVoucherBulk;Delete multiple vouchers;Eliminar varios cupones
595;pjVouchers_pjActionExportVoucher;Export vouchers;Exportación de cupones
596;pjVouchers_pjActionUpdate;Edit vouchers;Editar cupones
597;user;Username;Nombre de usuario
598;pass;Password;Contraseña
599;email;Email;Correo
600;url;URL;URL
601;created;DateTime;Fecha/Hora
602;btnSave;Save;Guardar
603;btnReset;Reset;Resetear
604;addLocale;Add language;Añadir idioma
605;menuLang;Multi Lang;Múltiples idiomas
606;menuPlugins;Plugins;Plugins
607;menuUsers;Users;Usuario
608;menuSchedule;Schedule;Programacion
609;menuOptions;Options;Opciones
610;menuLogout;Logout;Cerrar sesión
611;btnUpdate;Update;Actualizar
612;lblChoose;Choose;Seleccionar
613;btnSearch;Search;Búscar
614;backend;Back-end titles;Títulos de back-end
615;frontend;Front-end titles;Títulos de front-end
616;locales;Languages;Idioma
617;adminLogin;Admin Login;Inicio de sesión de administrador
618;btnLogin;Login;Sesión
619;menuDashboard;Dashboard;Dashboard
620;lblOptionList;Option list;Lista de opciones
621;btnAdd;Add;Añadir
622;lblDelete;Delete;Eliminar
623;lblType;Type;Tipo
624;lblName;Name;Nombre
625;lblRole;Role;Rol
626;lblStatus;Status;Estatus
627;lblIsActive;Is confirmed;Se confirmo
628;lblUpdateUser;Update user;Actualizar usuario
629;lblAddUser;Add user;Añadir usuario
630;lblValue;Value;Valor
631;lblOption;Option;Opcion
632;lblDays;days;dias
633;menuLocales;Languages;Idioma
634;lblYes;Yes;Sí
635;lblNo;No;No
636;lblError;Error;Error
637;btnBack;"&laquo; Back";"&laquo; Anterior"
638;btnCancel;Cancel;Cancelar
639;lblForgot;Forgot password;Recuperar contraseña
640;adminForgot;Password reminder;Recordatorio de contraseña
641;btnSend;Send;Enviar
642;emailForgotSubject;Password reminder;Recordatorio de contraseña
643;emailForgotBody;Dear {Name},Your password: {Password};Estimado {Name}, su contraseña: {Password}
644;menuProfile;Profile;Perfil
645;infoLocalesTitle;Languages Title;Idiomas Título
646;infoLocalesBody;Languages Body;Idiomas Cuerpo
647;infoLocalesBackendTitle;Languages Backend Title;Título idiomas Back-end
648;infoLocalesBackendBody;Languages Backend Body;Cuerpo idiomas Back-end
649;infoLocalesFrontendTitle;Languages Frontend Title;Título idiomas Front-end
650;infoLocalesFrontendBody;Languages Frontend Body;Cuerpo idiomas Front-end
651;infoListingPricesTitle;Listing Prices Title;Título listado Precios
652;infoListingPricesBody;Listing Prices Body;Cuerpo listado de precios
653;infoListingBookingsTitle;Listing Bookings Title;Título listado Reservas
654;infoListingBookingsBody;Listing Bookings Body;Cuerpo listado Reservas
655;infoListingContactTitle;Listing Contact Title;Título listado de contacto
656;infoListingContactBody;Listing Contact Body;Cuerpo listado de contacto
657;infoListingAddressTitle;Listing Address Title;Título listado Dirección
658;infoListingAddressBody;Listing Address Body;Cuerpo listado de dirección
659;infoListingExtendTitle;Extend exp.date Title;Título extender fecha exp.
660;infoListingExtendBody;Extend exp.date Body;Cuerpo extender fecha exp.
